,BMW_FL_g,BMW_FL_s,Ran_Pri_seperate,Ran_Pri_overall,RRAFL_seperate,RRAFL_overall
0,"(0.8454, 16.017343975086607)","(0.8317, 60.0)","(0.49990000000000007, 1.445241357756684)","(0.43130000000000007, 1.0398409438451492)","(0.8328000000000001, 8.240570840835021)","(0.6978000000000001, 5.868199851106089)"
1,"(0.8736999999999998, 16.24847015191385)","(0.8714999999999998, 60.0)","(0.5116, 0.6716475970508058)","(0.6621, 1.4522374213117142)","(0.8427000000000001, 2.916445521216173)","(0.8563000000000001, 6.873297895590929)"
2,"(0.8865999999999999, 13.157827766870895)","(0.8785000000000001, 32.114029141192376)","(0.8054, 2.198967144872515)","(0.6570000000000001, 0.5217016767409497)","(0.8743000000000001, 8.335804388557726)","(0.8808999999999999, 8.767143339815743)"
3,"(0.8942, 12.220970769068323)","(0.8904, 14.564119122419312)","(0.7842, 0.37706617189022973)","(0.7588, 0.7775573560561624)","(0.8698, 1.8457185434864136)","(0.8896000000000001, 9.385481874290397)"
4,"(0.8992000000000001, 11.279516782558535)","(0.8996999999999999, 21.764524979089316)","(0.8038000000000001, 0.4399635311265665)","(0.7263, 1.3148892643869172)","(0.8707, 2.7120926415913233)","(0.8968999999999999, 8.400439063244693)"
5,"(0.9062999999999999, 10.885018601116807)","(0.9082999999999999, 23.40963944388126)","(0.7059999999999998, 0.2962824581630244)","(0.7686999999999999, 0.4668430567807338)","(0.8695999999999999, 1.8079477366028482)","(0.9004999999999999, 8.597319439822865)"
6,"(0.9087999999999999, 11.057634799020816)","(0.9105999999999999, 19.506929389029477)","(0.7363999999999999, 0.8686503541481504)","(0.7643000000000001, 0.4876674907491155)","(0.8759, 4.122453363767163)","(0.9035, 7.865297071528576)"
7,"(0.9135, 11.210498915676768)","(0.9180000000000001, 19.465595901322047)","(0.6244, 1.4093902934719962)","(0.7806, 1.6764242617757168)","(0.8787, 1.9097870388086395)","(0.9022, 8.119948961612359)"
8,"(0.9067000000000002, 10.928357821330028)","(0.9155, 13.11941600481803)","(0.7053, 1.1778147347253416)","(0.7607, 0.3275047203814027)","(0.8818999999999999, 0.9453162777737616)","(0.9164, 8.172828882148345)"
9,"(0.9128000000000001, 11.004100177190796)","(0.9171999999999999, 3.6321637402049056)","(0.7622, 0.3474552096946366)","(0.6429, 0.6624421198511453)","(0.8853, 4.213668274862853)","(0.9188000000000001, 8.883039442484515)"
