,BMW_FL_g,BMW_FL_s,Ran_Pri_seperate,Ran_Pri_overall,RRAFL_seperate,RRAFL_overall
0,"(0.8446, 13.991435792784692)","(0.7028000000000001, 30.0)","(0.4112, 0.4973557865822533)","(0.5402000000000001, 0.40051829125634875)","(0.27120000000000005, 1.265578857528496)","(0.577, 3.1923442663669297)"
1,"(0.8722000000000001, 13.970302689587223)","(0.6670999999999999, 30.0)","(0.4569, 1.4305202556376613)","(0.6154, 0.3933323904882673)","(0.7036, 5.424502048195725)","(0.6982999999999999, 3.6379276382336703)"
2,"(0.8816, 11.571199144880305)","(0.7162, 16.898242272965675)","(0.5823, 0.48311797543707974)","(0.6469, 0.2593483778457889)","(0.8437000000000001, 1.807929806503613)","(0.7933999999999999, 3.292733417284429)"
3,"(0.8854000000000001, 10.443213462227959)","(0.7933999999999999, 12.012365443889063)","(0.7893, 2.2239924277529073)","(0.5195000000000001, 0.42573212426081947)","(0.859, 3.833856268756835)","(0.8703999999999998, 6.76292301500376)"
4,"(0.8875, 10.518689771409628)","(0.8484999999999999, 11.32144940765795)","(0.7067, 0.9646096945798138)","(0.6632, 0.6536565481681922)","(0.8635000000000002, 1.8137625172689658)","(0.8738000000000001, 5.476222168605692)"
5,"(0.8916000000000001, 10.260507165994666)","(0.8571, 9.274770841061684)","(0.7209, 0.40080783995798275)","(0.6626000000000001, 1.5338449438287107)","(0.8744, 4.571287258420839)","(0.8872, 4.859557175416164)"
6,"(0.9048999999999999, 10.598733501586613)","(0.8629, 6.602916537354522)","(0.8121, 0.47883974830787635)","(0.6619000000000002, 0.3058453648882064)","(0.8759, 0.8105210138898759)","(0.8855000000000001, 1.9245005542280487)"
7,"(0.9014999999999999, 11.278397874500895)","(0.8554999999999999, 6.8335113192150745)","(0.8379000000000001, 1.4470609049550205)","(0.6535, 0.31259393833746907)","(0.8764999999999998, 1.0)","(0.8852, 2.6533946289399983)"
8,"(0.9126999999999998, 11.2153794774034)","(0.8859, 19.399143071658926)","(0.7192999999999999, 0.28081290938892206)","(0.7263999999999999, 0.6435261007195281)","(0.8741, 1.0)","(0.8838000000000001, 2.619579830265117)"
9,"(0.9156000000000001, 11.855419866354875)","(0.8959999999999999, 17.6513485556954)","(0.7859999999999999, 0.9141322256142655)","(0.8316000000000001, 1.7100949052591934)","(0.8786999999999999, 4.596275600135024)","(0.8940999999999999, 5.914575629842599)"
