,BMW_FL_g,BMW_FL_s,Ran_Pri_seperate,Ran_Pri_overall,RRAFL_seperate,RRAFL_overall
0,"(0.85475, 15.74887488808928)","(0.794125, 40.0)","(0.4755, 0.3426056206385906)","(0.41725, 0.46273548514105595)","(0.47637499999999994, 3.7124253020474987)","(0.661125, 3.3986952795192864)"
1,"(0.8705, 15.197066084356603)","(0.8124999999999999, 40.0)","(0.764, 1.1885284522136927)","(0.7807499999999997, 1.0356169950548268)","(0.663125, 3.8894439172999946)","(0.8663749999999999, 4.98211572554022)"
2,"(0.8861249999999999, 10.743059796812902)","(0.8540000000000001, 19.341181380427656)","(0.640125, 0.4128601172208553)","(0.771625, 0.9300761493010378)","(0.8575, 1.8944724625756488)","(0.8863749999999999, 5.8273546178453195)"
3,"(0.89375, 8.543822084894064)","(0.8627500000000001, 12.27372531386483)","(0.8365, 1.616207516871012)","(0.742, 0.5507474145722646)","(0.8688750000000001, 2.495806056751628)","(0.8847499999999999, 2.632817073619296)"
4,"(0.909125, 7.884978239006732)","(0.892625, 14.99018148607651)","(0.7035, 1.0140584385584266)","(0.6321249999999999, 0.5046593524412507)","(0.878, 2.4205876428418396)","(0.89775, 7.189032151701952)"
5,"(0.91175, 8.265285785486117)","(0.8666250000000002, 8.13979435708038)","(0.8447499999999999, 1.3479861397866846)","(0.695625, 0.5923440845838888)","(0.864125, 2.713876560232867)","(0.899875, 5.82724243041774)"
6,"(0.914875, 7.800015873186371)","(0.902125, 13.351240006721287)","(0.7233750000000001, 0.763176284682363)","(0.53425, 0.745670818486229)","(0.8583749999999999, 1.8553401754874759)","(0.905375, 5.676842750756187)"
7,"(0.9151250000000002, 7.971378864519076)","(0.9122500000000001, 19.790991100006853)","(0.6675, 0.5697696094699344)","(0.8410000000000001, 0.6777173194847887)","(0.860125, 1.0)","(0.911, 6.090524651951848)"
8,"(0.90925, 7.564748674299441)","(0.912625, 5.174181916131779)","(0.7367500000000002, 1.106623758025434)","(0.6393749999999999, 0.8009401900804057)","(0.8631250000000001, 1.9761003033540643)","(0.91125, 6.543773036359158)"
9,"(0.9108750000000001, 7.955227132733332)","(0.917, 7.581037161299396)","(0.8302500000000002, 0.5375284503570293)","(0.658875, 0.6092104263921135)","(0.8752500000000001, 2.7679816174878686)","(0.914, 6.113426425957295)"
