,2,4,6,8
BMW_FL_g,"(0.8800000000000001, 5.264094941165095)","(0.8976124999999999, 9.767445742338392)","(0.884425, 13.616548646237408)","(0.86881875, 15.426706974875632)"
BMW_FL_s,"(0.8063, 7.072824575638592)","(0.8726625, 18.06423327216087)","(0.8847583333333333, 31.193455735676906)","(0.88851875, 37.09950927525453)"
Ran_Pri_seperate,"(0.6975000000000001, 0.29839684887669476)","(0.722225, 0.8899344387824023)","(0.6698416666666667, 1.0006049466721059)","(0.698625, 1.5922465796357257)"
Ran_Pri_overall,"(0.7643, 0.42809222354934595)","(0.6712875, 0.6909718235537861)","(0.7148, 1.3552588379845478)","(0.6789125, 1.456440314545729)"
RRAFL_seperate,"(0.7861, 1.731921596254438)","(0.8064875, 2.472603403807889)","(0.698775, 2.5516868400172488)","(0.7992750000000001, 2.996374117012681)"
RRAFL_overall,"(0.86955, 2.535253227158479)","(0.8737875, 5.428182414366829)","(0.8848416666666667, 9.457991995191426)","(0.7765000000000001, 9.038878878164226)"
