,6,8,10,12
BMW_FL_g,"(0.8897600000000001, 11.570327874673024)","(0.8409200000000002, 12.808756935949546)","(0.88805, 12.848750513381773)","(0.8947200000000001, 12.400973975983343)"
BMW_FL_s,"(0.80854, 15.99937474494983)","(0.78808, 19.24077085183823)","(0.8722200000000001, 25.547533310317142)","(0.8941399999999998, 26.757641772195672)"
Ran_Pri_seperate,"(0.68226, 0.9121249768213782)","(0.67689, 1.3148819051792442)","(0.67658, 0.6910990229994103)","(0.6939199999999999, 0.923247885289995)"
Ran_Pri_overall,"(0.65212, 0.6638492985052524)","(0.65713, 0.7628389783301285)","(0.6638000000000001, 1.0535010812253822)","(0.69527, 0.8727108311879006)"
RRAFL_seperate,"(0.79206, 2.6123713370699373)","(0.8218300000000001, 4.34708456061836)","(0.79143, 5.081718543472416)","(0.8681699999999999, 3.7049804627501928)"
RRAFL_overall,"(0.82487, 4.03337583241864)","(0.8670199999999999, 7.878278857526721)","(0.82969, 6.449155629551655)","(0.87629, 8.093299582164452)"
