,BMW_FL_g,BMW_FL_s,Ran_Pri_seperate,Ran_Pri_overall,RRAFL_seperate,RRAFL_overall
0,"(0.8295625000000001, 16.005683706121754)","(0.8296250000000001, 80.0)","(0.4118125000000001, 0.9286190260948909)","(0.426125, 2.3287341133111)","(0.3711875000000001, 3.420099398871094)","(0.27493750000000006, 2.42546527054026)"
1,"(0.85625, 16.00930850585312)","(0.8510625, 80.0)","(0.6011875000000001, 2.145524983873174)","(0.5020625, 0.6019046309730953)","(0.7443125, 4.2446717030140535)","(0.601, 7.726613858197668)"
2,"(0.8695, 18.310890255031076)","(0.8666249999999999, 45.72019879608353)","(0.6668125, 1.6054256191460015)","(0.5914375000000001, 0.7803082074831001)","(0.7501875, 1.8043683800242771)","(0.823875, 9.527486626537556)"
3,"(0.8753124999999999, 16.157600224034997)","(0.8805000000000002, 28.86869339793996)","(0.7409999999999999, 2.4067679995595928)","(0.7090624999999999, 2.3382052304797205)","(0.865625, 7.592812937637536)","(0.8813124999999999, 12.589031299189122)"
4,"(0.824625, 15.29042935276897)","(0.8958750000000001, 31.492419186151814)","(0.7977500000000002, 1.475509786295853)","(0.7898125, 1.457366089307035)","(0.8680625000000001, 2.4473689078443197)","(0.8838125000000001, 9.082018535162124)"
5,"(0.8996875000000001, 14.837760100014338)","(0.9022500000000001, 28.03229770008477)","(0.8046875, 1.330285091458001)","(0.6864375, 0.902145521013221)","(0.8696249999999999, 2.6170174619960753)","(0.8919374999999999, 8.527244903870615)"
6,"(0.8993125, 15.624653792498881)","(0.9094999999999999, 21.299680110956842)","(0.771375, 1.874343216821947)","(0.695625, 1.0386406515839905)","(0.8748750000000001, 1.782406714475687)","(0.8954375000000001, 10.673151375356627)"
7,"(0.87725, 14.795189261641758)","(0.9144375, 17.93938855378)","(0.805875, 1.8066488501050886)","(0.7683125, 1.9844922746359284)","(0.8829374999999999, 2.5795342066762896)","(0.901625, 8.350873595001111)"
8,"(0.9131250000000001, 14.01643420664259)","(0.9131874999999999, 17.40899644699398)","(0.6916874999999999, 1.0909104307250872)","(0.7863125000000001, 1.1340656790916452)","(0.88175, 1.7274462242454083)","(0.7544375000000001, 11.581735915230238)"
9,"(0.8435625, 13.219120344148847)","(0.9221250000000001, 20.23341856055449)","(0.6940625, 1.2584307922776221)","(0.8339375, 1.9985407475784538)","(0.8841875, 1.7480152353420686)","(0.8566250000000001, 9.905167402556948)"
