,BMW_FL_g,BMW_FL_s,Ran_Pri_seperate,Ran_Pri_overall,RRAFL_seperate,RRAFL_overall
0,"(0.8393, 14.445222591853598)","(0.6373, 40.0)","(0.48599999999999993, 0.7708838690640766)","(0.5625, 0.745982709499316)","(0.6744000000000001, 5.880017205036638)","(0.7757, 7.428370046593808)"
1,"(0.8679, 14.53450521572846)","(0.6967000000000001, 40.0)","(0.6325000000000001, 1.4276526133858518)","(0.5963, 0.5070108063728862)","(0.8559000000000001, 5.605455360925177)","(0.8602000000000001, 7.478683460827584)"
2,"(0.8836999999999999, 13.35852058155071)","(0.7148999999999999, 24.222248071888473)","(0.6166999999999999, 1.5905046729293781)","(0.7451000000000001, 2.0560176971193496)","(0.8646, 2.7962722714320694)","(0.8429, 8.080187325079415)"
3,"(0.8921000000000003, 13.93529070522102)","(0.7290000000000001, 14.97774531946387)","(0.531, 1.0520828679075047)","(0.7539999999999999, 1.05287884742125)","(0.8781000000000001, 5.3085707170519685)","(0.8860000000000001, 7.569860357525892)"
4,"(0.9011000000000001, 12.75063143685093)","(0.7438, 3.5397471071547293)","(0.6260999999999999, 2.2879878651324486)","(0.5865, 1.1232644585687028)","(0.8718999999999999, 4.342690364979909)","(0.8861000000000001, 7.218566158533439)"
5,"(0.7647000000000002, 12.28334648333913)","(0.7948, 6.649923209090358)","(0.7793000000000001, 1.0876686944574543)","(0.7075, 1.0469826469270422)","(0.8741, 5.230343910937936)","(0.7934000000000001, 8.019485056791003)"
6,"(0.9043000000000001, 12.098061011724896)","(0.8712, 13.634935524049093)","(0.7547999999999999, 1.0220395282957373)","(0.6909000000000001, 0.3624622023708921)","(0.8821999999999999, 4.254557382162564)","(0.8972000000000001, 8.227685211495194)"
7,"(0.7723000000000001, 12.096350272073344)","(0.8899000000000001, 12.44218100645754)","(0.7865, 1.1998514365393478)","(0.5766, 0.2661740364659859)","(0.8069, 4.173567153001561)","(0.9057999999999998, 10.250772463174677)"
8,"(0.7280000000000001, 10.808083979095649)","(0.9017000000000002, 19.655980495769292)","(0.7711, 1.7624891529684992)","(0.7844, 0.283118076640225)","(0.7674999999999998, 4.484678383687915)","(0.9117000000000001, 8.093908300603502)"
9,"(0.8558, 11.777557082057703)","(0.9015000000000001, 17.284947784508987)","(0.7849, 0.9476583511121437)","(0.5675000000000001, 0.18449830191563416)","(0.7427, 1.3946928569678614)","(0.9112, 6.415270194642692)"
