,BMW_FL_g,BMW_FL_s,Ran_Pri_seperate,Ran_Pri_overall,RRAFL_seperate,RRAFL_overall
0,"(0.7907500000000001, 8.919233552125117)","(0.5707499999999999, 20.0)","(0.4382500000000001, 0.041886187102193786)","(0.718, 0.8427182822713448)","(0.44375, 1.0)","(0.8314999999999999, 3.005261709276629)"
1,"(0.8425, 8.488114420063413)","(0.7602500000000001, 20.0)","(0.7317499999999999, 0.1632883616763768)","(0.7500000000000001, 0.2875273525822865)","(0.4555, 1.0)","(0.861, 3.1051518253436026)"
2,"(0.881, 6.006217523774303)","(0.792, 10.96115594316755)","(0.78725, 0.1592086438203136)","(0.7502499999999999, 0.20739301384946976)","(0.8604999999999998, 3.2055298231721743)","(0.86225, 2.5047483297324717)"
3,"(0.88575, 5.320513699316211)","(0.7927500000000001, 3.424001755845041)","(0.81525, 0.25328106057498906)","(0.7912500000000001, 0.1821464413207486)","(0.8780000000000001, 3.172887972162888)","(0.884, 2.755557987948131)"
4,"(0.9017499999999998, 5.113525637898004)","(0.8785000000000001, 7.496515862531113)","(0.8200000000000001, 0.2853758755401213)","(0.8122499999999999, 0.32986787092954734)","(0.87225, 1.0)","(0.8919999999999999, 2.7538399253144394)"
5,"(0.9039999999999999, 3.99624751412602)","(0.88175, 2.426072199352983)","(0.80325, 0.07215534546439734)","(0.7725, 0.03876351298179562)","(0.8772500000000001, 1.0)","(0.8735, 2.0460241182831145)"
6,"(0.89225, 3.9549462028809694)","(0.8542500000000002, 0.47264807270036385)","(0.5722500000000001, 0.3090488005861513)","(0.7962499999999999, 0.6997262859206719)","(0.87825, 2.0604405814351967)","(0.8805000000000001, 2.50213915896343)"
7,"(0.9035, 3.8766033870900825)","(0.8585, 0.43690530686446727)","(0.562, 0.8220000853094251)","(0.73275, 0.7436194896370336)","(0.87375, 1.0)","(0.8465, 2.2567011756870428)"
8,"(0.8989999999999999, 3.4743465805810074)","(0.7925, 1.1740003023898358)","(0.85175, 0.8063173646548117)","(0.7262500000000001, 0.6115425541895113)","(0.8547499999999999, 0.997423525377703)","(0.8835000000000002, 2.4775156394499955)"
9,"(0.8995, 3.4912008937958237)","(0.88175, 4.3369463135345745)","(0.59325, 0.07140676403816786)","(0.7935, 0.3376174318110512)","(0.867, 2.882934060396416)","(0.88075, 1.945592401585933)"
